,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Total Return,Skewness,Kurtosis,Win Rate,VaR (95%),CVaR (95%)
HRP,0.13304813700180373,0.19193234472235746,0.6932033117933638,0.8408654568231536,-0.32583373955534695,0.4083313691926733,0.8637202333912024,-0.4755551772241405,15.375216470868033,0.552547770700637,-0.016337612441735896,-0.028403107411971256
1/N,0.14910973219934442,0.2233644631575667,0.6675624675987908,0.8170838172915544,-0.3832399570902084,0.3890766853526352,0.999168476863165,-0.5615037288249709,15.31347724465222,0.5414012738853503,-0.01918213353254981,-0.03305298525561928
Inverse Vol,0.14009367600464828,0.21114054885688138,0.663509102174442,0.8053795239832997,-0.36524420635346444,0.38356166523028395,0.9222012945310643,-0.5317929162147033,15.783604401628544,0.5477707006369427,-0.01801625049693476,-0.03132266054700803
Min Variance,0.14313625785649342,0.19930421082828112,0.7181797979161537,0.8671573452342921,-0.3559727842092827,0.4020988800434279,0.9479051637235107,-0.5678196431343777,15.63998083907397,0.5493630573248408,-0.01707180275680266,-0.0296629241552393
Risk Parity,0.14150248255245268,0.20254807123461352,0.6986118489795388,0.8495645742554193,-0.3455611364679863,0.4094861013560819,0.9340690294573819,-0.5169754075033971,15.217052670526055,0.5493630573248408,-0.017194621592692198,-0.030016414355660836
