,OOS Sharpe,OOS Annual Return,OOS Annual Vol,OOS Total Return
HRP,0.905080134124595,0.1251762079834412,0.1383040056497464,0.5425911433632022
1/N,0.9192774275686291,0.15134309103231014,0.16463266310431796,0.6763545567057954
Min Variance,0.9595365226261571,0.1459380393559752,0.15209221943585555,0.655001431891203
