Ticker,Weight
BDX,0.0074838136810547904
GIS,0.006576846969692855
JNJ,0.006558123468464963
HRL,0.006365119299948406
KR,0.006363116613785256
CL,0.0062787016844562255
WMT,0.006229433520833132
BMY,0.006145490732462833
KDP,0.0060612164825478146
EA,0.006015879583313178
KMB,0.005687910968736014
MRK,0.00566876008825858
GILD,0.005652385733800726
ABBV,0.005618233900692963
COST,0.005445982837373663
GEN,0.005391258176635759
VZ,0.005280088025455864
CLX,0.005267422883560996
DPZ,0.005229676604121663
PFE,0.00521681039115041
K,0.00505457046822161
CHD,0.004987718681174409
HSY,0.004889297826190428
TMUS,0.004744762678165027
SJM,0.004736000272630655
BR,0.00472990554623438
EXPD,0.004520911221117321
LLY,0.004428123271982134
CAG,0.004407778048649456
AMGN,0.004401367399817584
CPB,0.004362617934130129
TTWO,0.004164362569366144
WM,0.00415646662674692
AJG,0.0040584902513708734
NOC,0.004056201340752695
JKHY,0.004050668429651475
MSI,0.00404945734745723
AKAM,0.00396767843829032
CBOE,0.00394451321776207
INCY,0.00391879235116935
BAX,0.003910231457117206
ROL,0.003901361873352526
DVA,0.0038746772033592487
BALL,0.0038741398076517024
KO,0.0037592833575057537
MO,0.0037393116454564113
NEM,0.00373465599966806
PG,0.0037148324684891073
CME,0.0036897072741820577
KHC,0.0036819042580211745
FFIV,0.0036723617814169596
ERIE,0.003646297704350278
PEP,0.003632342561450686
MDLZ,0.003625389239190599
WTW,0.003590024926196496
PM,0.00358563214547186
RSG,0.003578595839260935
HOLX,0.00357468405151427
ROP,0.0035635861789145456
TSN,0.00354966059799058
STZ,0.0035479255526765377
EBAY,0.0035432007130518236
PGR,0.003541352624138704
ACN,0.0035378959568330413
TAP,0.0035178402416242887
PEG,0.0034994339160481034
IBM,0.0034924985237176787
MCD,0.00347192209856
UPS,0.0034324798777703508
FAST,0.003407359625210796
MNST,0.0033654949120560437
ABT,0.0033270096993579584
EVRG,0.0033245033554972696
AZO,0.0033234679829466994
ICE,0.003295819039643631
CHRW,0.003267395993542369
DG,0.0031742598900000515
CPRT,0.00317127487110708
MKC,0.0031699836208903785
COR,0.003151578692246801
ZBH,0.0031383150321970155
DGX,0.0031148984368097234
MMM,0.0031134403330648685
LIN,0.0030823458598369436
GRMN,0.003063558116992866
CTVA,0.003049368320234568
IEX,0.0030457042412401184
MMC,0.003041949151684976
A,0.003006759652080029
VTRS,0.0030009964089084086
STE,0.002969274727207442
REGN,0.002962592955366189
NEE,0.0029570289014034436
T,0.002932512437871017
ORLY,0.002919048554180465
CMG,0.0029157747733692305
TSCO,0.002913339054698612
APD,0.0028890603561131166
GD,0.002884278667940048
FE,0.0028706142283531494
SRE,0.002848514030755738
PYPL,0.002833569453520511
FDX,0.002828847545467664
AON,0.002823444514569651
BRO,0.002822737947731476
YUM,0.0028158587359576846
SO,0.0028104160744595293
PNR,0.0028099875756401435
ORCL,0.002787133270772763
VRTX,0.0027871306855957716
EIX,0.0027787314887881727
CMI,0.0027609565194442894
WST,0.0027423701992237157
EL,0.0027364297743356155
CSCO,0.002718729238698085
ALL,0.0027173679554113508
MA,0.0026990776353118615
HSIC,0.002695347341756523
MDT,0.0026356582733209673
LMT,0.0025906588591711553
J,0.0025860050070137396
VRSN,0.0025810488963575674
FDS,0.002541872719045057
AMCR,0.0025396735113843586
SBAC,0.0025370209306596536
CMCSA,0.002528708345476036
PSA,0.0025268636805460755
COO,0.002518698142124812
GOOGL,0.0025182255758597455
VRSK,0.0025140622611386945
TGT,0.0025134973810136073
UNP,0.0025072401275132617
IFF,0.002503489678027274
EXR,0.002501599257136976
ADM,0.0024796217479146937
RMD,0.002473451649684964
CAH,0.002463774680773325
ED,0.0024591776198618115
ATO,0.002453784625351289
NDAQ,0.0024462293419712463
LDOS,0.0024393996679826185
PKG,0.002427838110975387
AOS,0.002421680820592359
MKTX,0.002420996561469055
GDDY,0.0024047173257970705
WBA,0.0023928618996303347
MCK,0.002378329010016919
CSGP,0.002374719995501496
FTV,0.002365056080894524
NKE,0.0023484719359498562
FMC,0.0023480571247605614
ITW,0.0023448605164400316
AME,0.002340155574567392
DUK,0.0023361280343893263
BWA,0.0023234917761697474
BIIB,0.0023165339761759118
TRV,0.0023156681344387573
CMS,0.002313088759705179
CHTR,0.0023120810235586144
DLTR,0.0022928081312548155
AIZ,0.0022762684505745917
ZTS,0.0022718046238642976
LHX,0.0022516940462515385
LNT,0.002245833570105292
BSX,0.0022270236774552953
CNP,0.0022069827925201638
AEP,0.00220271902753166
XYL,0.002199583561069694
LULU,0.0021994802802846763
NRG,0.002196996660602579
GWW,0.0021636416656773847
AES,0.0021625180542568273
CVS,0.002159054973832758
HII,0.002140586899857151
NFLX,0.002139596570576136
ECL,0.0021364039921834073
CSX,0.002136367682108626
KEYS,0.002136092360625666
WAB,0.0021192444609924583
XEL,0.002101664223515478
ADP,0.0021013919942764027
AMZN,0.0020975738736815925
CTSH,0.0020954462309195157
LH,0.0020921166210417525
PPL,0.002091039931030935
AWK,0.0020805008110890474
HAS,0.0020792531768505447
TDY,0.0020634412876900407
BG,0.0020625425573000352
LW,0.0020624874757491935
NI,0.002057562553855661
IRM,0.002040309316517644
EFX,0.0020387222424448057
AEE,0.0020363802367719982
HCA,0.0020276623278950726
DTE,0.0020253645038611975
DHR,0.0020206017217781224
FTNT,0.0020182697590122806
TMO,0.002012631956700753
D,0.0020036937422583598
PNW,0.002001758317311922
EMR,0.0019985007862108294
APH,0.001988127585624075
DECK,0.001982942626784647
WEC,0.0019805228964758304
HON,0.0019790484842109805
