scenario,hrp_mean,eq_mean,iv_mean,hrp_beats_eq_pct,improvement_pct,avg_corr
"Block-Diagonal (5 sectors, high intra-corr)",0.006351327408519634,0.00911200812742478,0.007545057972506784,100.0,30.297171384167378,0.21020408163265306
"Block-Diagonal (10 sectors, moderate intra-corr)",0.004212723437366679,0.0060700788405856545,0.005006825468141381,100.0,30.59853837153413,0.1326530612244898
High Correlation (0.8 - single sector),0.022003246105860824,0.03220448363252178,0.026784685956192662,100.0,31.676451152159473,0.7997579722453445
Moderate Correlation (0.5),0.013965071995146175,0.0204526467277963,0.016991294710903954,100.0,31.719976485161432,0.4997579722453444
Low Correlation (0.2 - diversified),0.005958411059591774,0.008701086384535709,0.007197163819000909,100.0,31.52106764298358,0.19891832055505634
Very High Correlation (0.9 - market crash),0.024682922284852644,0.036078295007564376,0.03001328734010605,100.0,31.585119863126888,0.8997579722453444
